iter	Passed	Remaining
0	3	3295
1	8	4028
2	12	4215
3	17	4474
4	22	4515
5	27	4487
6	32	4618
7	36	4580
8	41	4536
9	45	4552
10	50	4542
11	55	4534
12	59	4525
13	65	4582
14	69	4560
15	74	4567
16	79	4601
17	84	4596
18	89	4609
19	95	4673
20	99	4657
21	104	4637
22	109	4655
23	115	4677
24	119	4659
25	124	4668
26	130	4687
27	134	4670
28	139	4655
29	144	4687
30	149	4671
31	154	4677
32	160	4692
33	164	4683
34	169	4664
35	174	4677
36	179	4667
37	183	4651
38	189	4659
39	193	4652
40	198	4640
41	203	4645
42	208	4648
43	213	4644
44	218	4637
45	224	4647
46	229	4650
47	234	4643
48	240	4658
49	244	4649
50	249	4639
51	255	4652
52	259	4640
53	264	4627
54	270	4639
55	275	4635
56	279	4625
57	284	4626
58	289	4617
59	294	4608
60	299	4602
61	303	4597
62	308	4588
63	313	4578
64	319	4589
65	323	4582
66	328	4571
67	333	4574
68	338	4570
69	343	4558
70	348	4559
71	353	4550
72	357	4541
73	362	4540
74	367	4534
75	371	4518
76	376	4512
77	381	4515
78	386	4506
79	391	4500
80	397	4504
81	401	4490
82	405	4485
83	410	4480
84	416	4484
85	421	4481
86	427	4485
87	432	4479
88	436	4470
89	441	4461
90	445	4454
91	449	4441
92	454	4430
93	458	4422
94	463	4415
95	467	4405
96	472	4394
97	477	4396
98	482	4387
99	486	4376
100	491	4373
101	495	4362
102	499	4351
103	503	4341
104	508	4333
105	512	4322
106	516	4313
107	521	4304
108	526	4300
109	530	4290
110	534	4281
111	539	4273
112	543	4264
113	547	4253
114	551	4242
115	556	4238
116	560	4229
117	564	4220
118	569	4218
119	574	4211
120	578	4204
121	584	4204
122	604	4312
123	610	4312
124	623	4367
125	628	4358
126	633	4351
127	637	4344
128	642	4335
129	646	4326
130	651	4319
131	655	4311
132	660	4307
133	665	4298
134	669	4287
135	674	4284
136	678	4276
137	682	4265
138	687	4260
139	693	4260
140	698	4256
141	702	4245
142	708	4244
143	713	4238
144	718	4234
145	724	4235
146	729	4231
147	733	4225
148	740	4228
149	745	4223
150	749	4213
151	754	4211
152	759	4203
153	763	4194
154	768	4187
155	773	4185
156	778	4180
157	783	4176
158	788	4171
159	793	4164
160	797	4158
161	802	4152
162	806	4143
163	811	4135
164	816	4129
165	820	4122
166	824	4113
167	828	4104
168	833	4099
169	837	4091
170	843	4087
171	847	4080
172	851	4072
173	856	4064
174	860	4057
175	865	4052
176	869	4043
177	873	4035
178	878	4030
179	883	4023
180	887	4014
181	891	4006
182	897	4005
183	901	3999
184	906	3991
185	910	3985
186	915	3980
187	919	3973
188	924	3965
189	928	3960
190	933	3952
191	937	3943
192	941	3936
193	946	3931
194	950	3923
195	954	3914
196	959	3912
197	964	3905
198	968	3897
199	972	3891
200	978	3888
201	982	3882
202	987	3876
203	992	3872
204	996	3866
205	1002	3863
206	1007	3859
207	1016	3870
208	1021	3866
209	1025	3859
210	1030	3851
211	1034	3845
212	1039	3840
213	1043	3834
214	1048	3828
215	1053	3823
216	1057	3817
217	1062	3810
218	1067	3807
219	1072	3801
220	1076	3794
221	1081	3790
222	1087	3787
223	1092	3784
224	1096	3777
225	1101	3773
226	1107	3770
227	1111	3763
228	1116	3758
229	1121	3753
230	1125	3748
231	1130	3742
232	1135	3737
233	1139	3730
234	1143	3723
235	1148	3717
236	1152	3711
237	1157	3704
238	1161	3699
239	1166	3694
240	1171	3690
241	1176	3684
242	1182	3683
243	1187	3679
244	1192	3674
245	1198	3672
246	1202	3667
247	1207	3661
248	1212	3657
249	1217	3651
250	1221	3646
251	1227	3642
252	1231	3636
253	1236	3630
254	1241	3625
255	1246	3621
256	1250	3615
257	1255	3610
258	1260	3607
259	1265	3601
260	1270	3596
261	1274	3590
262	1279	3586
263	1284	3580
264	1288	3574
265	1293	3569
266	1298	3564
267	1303	3559
268	1308	3556
269	1313	3550
270	1318	3546
271	1323	3542
272	1328	3538
273	1333	3533
274	1338	3527
275	1343	3524
276	1347	3518
277	1353	3514
278	1358	3509
279	1363	3505
280	1367	3499
281	1373	3496
282	1378	3492
283	1383	3487
284	1388	3483
285	1393	3478
286	1397	3472
287	1403	3469
288	1408	3465
289	1413	3459
290	1418	3456
291	1423	3450
292	1427	3444
293	1431	3437
294	1436	3433
295	1441	3428
296	1446	3422
297	1451	3419
298	1456	3414
299	1460	3407
300	1467	3406
301	1472	3402
302	1476	3396
303	1482	3393
304	1501	3421
305	1506	3416
306	1511	3411
307	1516	3406
308	1520	3401
309	1525	3395
310	1530	3390
311	1535	3386
312	1540	3380
313	1545	3376
314	1550	3371
315	1554	3365
316	1560	3361
317	1565	3356
318	1569	3350
319	1574	3346
320	1580	3342
321	1584	3336
322	1598	3350
323	1603	3346
324	1609	3341
325	1614	3338
326	1619	3333
327	1624	3328
328	1629	3324
329	1634	3319
330	1640	3315
331	1645	3310
332	1650	3305
333	1655	3300
334	1660	3296
335	1665	3290
336	1670	3285
337	1674	3280
338	1679	3275
339	1684	3269
340	1689	3264
341	1693	3259
342	1698	3253
343	1703	3249
344	1708	3244
345	1713	3238
346	1717	3232
347	1722	3228
348	1727	3222
349	1731	3216
350	1737	3212
351	1742	3207
352	1746	3201
353	1759	3211
354	1764	3205
355	1769	3201
356	1775	3197
357	1780	3192
358	1789	3195
359	1794	3190
360	1800	3186
361	1805	3182
362	1810	3176
363	1815	3172
364	1820	3167
365	1825	3161
366	1830	3157
367	1835	3151
368	1839	3146
369	1844	3140
370	1849	3135
371	1854	3130
372	1858	3124
373	1864	3120
374	1869	3115
375	1873	3109
376	1879	3105
377	1884	3100
378	1888	3095
379	1894	3091
380	1899	3085
381	1903	3079
382	1908	3075
383	1913	3069
384	1917	3063
385	1923	3059
386	1929	3056
387	1933	3050
388	1938	3045
389	1943	3040
390	1948	3035
391	1953	3030
392	1958	3025
393	1963	3019
394	1967	3014
395	1972	3008
396	1977	3003
397	1981	2997
398	1986	2992
399	1991	2987
400	1996	2982
401	2001	2976
402	2005	2971
403	2010	2965
404	2014	2960
405	2020	2956
406	2025	2950
407	2029	2945
408	2034	2940
409	2038	2934
410	2043	2927
411	2047	2921
412	2051	2916
413	2056	2911
414	2061	2905
415	2066	2901
416	2071	2895
417	2075	2890
418	2080	2885
419	2085	2880
420	2091	2875
421	2096	2871
422	2101	2866
423	2105	2860
424	2110	2854
425	2115	2850
426	2120	2845
427	2124	2839
428	2129	2834
429	2134	2829
430	2138	2823
431	2144	2819
432	2149	2814
433	2154	2809
434	2158	2803
435	2163	2798
436	2168	2793
437	2173	2788
438	2178	2784
439	2183	2778
440	2187	2773
441	2193	2768
442	2197	2763
443	2202	2758
444	2207	2753
445	2212	2748
446	2217	2743
447	2222	2739
448	2227	2733
449	2232	2728
450	2237	2723
451	2242	2718
452	2246	2712
453	2251	2707
454	2256	2702
455	2260	2696
456	2264	2691
457	2269	2685
458	2274	2680
459	2279	2675
460	2283	2670
461	2289	2666
462	2294	2660
463	2298	2654
464	2303	2650
465	2319	2658
466	2325	2653
467	2329	2648
468	2335	2643
469	2340	2638
470	2345	2634
471	2350	2629
472	2355	2624
473	2359	2618
474	2365	2614
475	2376	2615
476	2381	2611
477	2386	2606
478	2391	2601
479	2397	2597
480	2402	2591
481	2406	2586
482	2411	2581
483	2417	2576
484	2421	2571
485	2426	2565
486	2431	2561
487	2435	2555
488	2440	2549
489	2445	2544
490	2449	2539
491	2453	2533
492	2459	2529
493	2463	2523
494	2468	2517
495	2472	2512
496	2477	2507
497	2496	2516
498	2500	2510
499	2505	2505
500	2510	2500
501	2516	2496
502	2522	2492
503	2528	2488
504	2533	2482
505	2537	2477
506	2543	2473
507	2548	2468
508	2553	2463
509	2567	2466
510	2575	2465
511	2580	2459
512	2585	2454
513	2590	2449
514	2595	2444
515	2599	2438
516	2604	2433
517	2609	2428
518	2613	2422
519	2617	2416
520	2623	2411
521	2627	2406
522	2631	2400
523	2637	2395
524	2642	2390
525	2646	2384
526	2651	2379
527	2656	2374
528	2660	2368
529	2664	2363
530	2669	2358
531	2673	2352
532	2678	2346
533	2683	2341
534	2687	2335
535	2692	2330
536	2696	2324
537	2700	2319
538	2705	2313
539	2709	2307
540	2717	2305
541	2722	2300
542	2725	2294
543	2733	2291
544	2738	2286
545	2743	2281
546	2748	2276
547	2753	2270
548	2757	2265
549	2764	2262
550	2769	2256
551	2773	2250
552	2777	2245
553	2782	2239
554	2786	2234
555	2790	2228
556	2795	2223
557	2800	2218
558	2804	2212
559	2808	2206
560	2813	2201
561	2817	2196
562	2822	2190
563	2826	2185
564	2831	2179
565	2835	2174
566	2839	2168
567	2844	2163
568	2848	2157
569	2853	2152
570	2857	2146
571	2861	2141
572	2866	2135
573	2870	2130
574	2875	2125
575	2879	2119
576	2883	2113
577	2894	2113
578	2898	2107
579	2902	2102
580	2907	2096
581	2911	2091
582	2915	2085
583	2919	2079
584	2925	2075
585	2930	2070
586	2935	2065
587	2940	2060
588	2945	2055
589	2950	2050
590	2955	2045
591	2960	2040
592	2965	2035
593	2970	2030
594	2974	2024
595	2979	2019
596	2984	2014
597	2989	2009
598	2993	2004
599	2998	1998
600	3003	1993
601	3009	1989
602	3014	1984
603	3020	1980
604	3024	1974
605	3028	1969
606	3036	1965
607	3041	1960
608	3045	1955
609	3050	1950
610	3054	1944
611	3058	1939
612	3063	1933
613	3068	1928
614	3072	1923
615	3076	1917
616	3081	1912
617	3086	1907
618	3090	1902
619	3094	1896
620	3100	1892
621	3104	1886
622	3109	1881
623	3114	1876
624	3119	1871
625	3123	1866
626	3128	1861
627	3133	1856
628	3138	1851
629	3143	1846
630	3148	1841
631	3153	1836
632	3157	1830
633	3163	1826
634	3169	1821
635	3174	1816
636	3179	1811
637	3184	1806
638	3188	1801
639	3194	1796
640	3198	1791
641	3203	1786
642	3208	1781
643	3212	1776
644	3217	1771
645	3222	1765
646	3227	1760
647	3232	1755
648	3236	1750
649	3241	1745
650	3246	1740
651	3250	1735
652	3255	1729
